mode,beta_analytical,omega_analytical,omega_fem,rel_error_percent
1,1.137062530056909,1.2929111972594192,1.292911205742722,6.561396285328971e-07
2,1.3978850489895454,1.9540826101885036,1.9540826417270412,1.6139817935478989e-06
3,1.783110263489599,3.1794822117619472,3.179482327880822,3.652131612195185e-06
4,2.6334806528064116,6.935220348705684,6.9352217034420125,1.953414975061976e-05
5,3.4980732979370917,12.236516797740482,12.236524723259272,6.47694022865172e-05
6,4.120885001726245,16.981693197452316,16.981712950655663,0.00011632057602924172
7,4.6307553225163645,21.44389485701364,21.44393577681396,0.00019082261218205851
8,5.495384211963314,30.199247637095656,30.199359820744338,0.0003714782898892656
9,6.623423077599342,43.869733264875535,43.87010941270468,0.0008574199137994558
10,7.223387047311512,52.177320435267724,52.1776093277436,0.0005536744192099161
11,7.750750130387191,60.074127583697056,60.075465801327184,0.00222761059370078
12,8.581878704471853,73.64864209826749,73.67590498111426,0.03701749559807782
