tau,w_c,v_c
  0.0000000000000000E+00,  0.0000000000000000E+00,  7.7847948342038309E-01
  8.0000000000000002E-03,  5.7813770950251907E-03,  6.3021777798559131E-01
  1.6000000000000000E-02,  1.0202848543047828E-02,  5.0761386092237304E-01
  2.4000000000000000E-02,  1.4161951077414477E-02,  4.7511025321209271E-01
  3.2000000000000001E-02,  1.7688495410196039E-02,  4.1311738941614917E-01
  4.0000000000000001E-02,  2.0957270596280355E-02,  4.0593738856462031E-01
  4.8000000000000001E-02,  2.4041478089285192E-02,  3.5903883933375236E-01
  5.6000000000000001E-02,  2.6828368583353666E-02,  3.5156189611883298E-01
  6.4000000000000001E-02,  2.9700408999954422E-02,  3.5513995342724830E-01
  7.1999999999999995E-02,  3.2329099637274039E-02,  2.9910853169138424E-01
  8.0000000000000002E-02,  3.4574631322006305E-02,  2.7198792840349428E-01
  8.7999999999999995E-02,  3.6841059232166434E-02,  3.0254090228978731E-01
  9.6000000000000002E-02,  3.9409757996040441E-02,  3.2958366215142554E-01
  1.0400000000000000E-01,  4.1954087600367229E-02,  3.0558896790458739E-01
  1.1200000000000000E-01,  4.4396862075276433E-02,  3.0605933828911708E-01
  1.2000000000000000E-01,  4.6641634848311866E-02,  2.3860121467110071E-01
  1.2800000000000000E-01,  4.8265764467520303E-02,  1.9150802297392724E-01
  1.3600000000000001E-01,  5.0001650147839631E-02,  2.3756202783413463E-01
  1.4399999999999999E-01,  5.1722612899451369E-02,  1.7603886545554404E-01
  1.5200000000000000E-01,  5.2906151820775058E-02,  1.3869573636267088E-01
  1.6000000000000000E-01,  5.4125837978133688E-02,  1.6799611806586628E-01
  1.6800000000000001E-01,  5.5646012069602062E-02,  2.1965572455075397E-01
  1.7599999999999999E-01,  5.7644149369260364E-02,  2.6578716518590872E-01
  1.8400000000000000E-01,  5.9605636430046918E-02,  2.1606485741699247E-01
  1.9200000000000000E-01,  6.1201162676114876E-02,  1.9393480061186436E-01
  2.0000000000000001E-01,  6.2765729867098580E-02,  1.9551379708888617E-01
  2.0799999999999999E-01,  6.4358174444977531E-02,  2.0746509116801337E-01
  2.1600000000000000E-01,  6.6103659323279412E-02,  2.2734619394658734E-01
  2.2400000000000000E-01,  6.8088289621203890E-02,  2.8269576589932721E-01
  2.3200000000000001E-01,  7.0698456218686867E-02,  3.5341853366895287E-01
  2.3999999999999999E-01,  7.3331326404277725E-02,  2.9189077152173576E-01
  2.4800000000000000E-01,  7.5568699641711409E-02,  2.8852619363343451E-01
  2.5600000000000001E-01,  7.7919033457711687E-02,  2.7449913482125898E-01
  2.6400000000000001E-01,  7.9726243237601940E-02,  1.9028208215120571E-01
  2.7200000000000002E-01,  8.1373409912011224E-02,  2.3389898900454462E-01
