mode,omega_bar,beta,mass_norm,Y_C,Y_D
1,  1.2929112057427219E+00,  1.1370625337872680E+00,  1.0000000000000009E+00, -4.7061025758150005E-01,  6.8280817814738420E-03
2,  1.9540826417270414E+00,  1.3978850602703505E+00,  1.0000000000000009E+00,  1.8938252274004411E-01,  2.5452486850945105E-01
3,  3.1794823278808222E+00,  1.7831102960503655E+00,  1.0000000000000002E+00, -5.8440807201440792E-01, -3.6727120264030177E-01
4,  6.9352217034420125E+00,  2.6334809100204262E+00,  1.0000000000000002E+00,  3.5593038235026525E-01, -9.1072215515825217E-01
5,  1.2236524723259272E+01,  3.4980744307774918E+00,  1.0000000000000004E+00,  5.5013168014517250E-02, -3.5799071294901247E-01
6,  1.6981712950655663E+01,  4.1208873984441343E+00,  1.0000000000000007E+00,  3.6805753057366697E-01, -1.3155423660033796E-01
7,  2.1443935776813962E+01,  4.6307597407783918E+00,  1.0000000000000000E+00, -2.8544241067743581E-01,  3.5790955911839806E-01
8,  3.0199359820744338E+01,  5.4953944190334818E+00,  9.9999999999999989E-01,  3.3860352362745899E-01,  8.9620846235349683E-01
9,  4.3870109412704679E+01,  6.6234514728126967E+00,  9.9999999999999978E-01,  4.5469419438910655E-02,  3.3132445173334307E-01
10,  5.2177609327743603E+01,  7.2234070443069731E+00,  1.0000000000000004E+00,  2.9813069130925701E-01,  9.8828980315220125E-02
11,  6.0075465801327184E+01,  7.7508364581719293E+00,  9.9999999999999978E-01, -2.0503895543957215E-01, -3.0204735928860671E-01
12,  7.3675904981114257E+01,  8.5834669557885679E+00,  1.0000000000000000E+00,  2.6332013549476918E-01, -8.9782425653374864E-01
13,  9.5325432489913624E+01,  9.7634744066809347E+00,  1.0000000000000002E+00,  3.6755829067427699E-02, -3.2321180425011192E-01
14,  1.0683622370049576E+02,  1.0336160974970145E+01,  9.9999999999999989E-01,  2.4565764657132830E-01, -8.2339782603410600E-02
15,  1.1834970665158596E+02,  1.0878865136198074E+01,  1.0000000000000000E+00, -1.6104991379112690E-01,  2.7604417169472439E-01
16,  1.3687934586372143E+02,  1.1699544686171400E+01,  9.9999999999999978E-01,  2.1225968366530140E-01,  9.0480973463814274E-01
17,  1.6653558353409872E+02,  1.2904866660841511E+01,  1.0000000000000000E+00,  3.1184535083757736E-02,  3.2033658310302987E-01
18,  1.8112713192550945E+02,  1.3458348038504186E+01,  1.0000000000000007E+00,  2.0795111596310772E-01,  7.0171198317866057E-02
19,  1.9635769511214647E+02,  1.4012769002311659E+01,  9.9999999999999956E-01, -1.3229329547403537E-01, -2.5912764145536343E-01
20,  2.1981306933201029E+02,  1.4826094203532172E+01,  1.0000000000000000E+00,  1.7712967140887195E-01, -9.1028336666416509E-01
21,  2.5752242608041570E+02,  1.6047505291490502E+01,  1.0000000000000004E+00,  2.7108151975041229E-02, -3.1869664607831899E-01
22,  2.7512653004605710E+02,  1.6586938537477526E+01,  9.9999999999999989E-01,  1.7983694208075557E-01, -6.1039733317249052E-02
23,  2.9413809571977288E+02,  1.7150454679680443E+01,  1.0000000000000004E+00, -1.1210359957876796E-01,  2.4741678801401240E-01
24,  3.2252441720444097E+02,  1.7958964814388409E+01,  1.0000000000000004E+00,  1.5173573927236694E-01,  9.1453965759706968E-01
