xi,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24
  0.0000000000000000E+00,  9.7891807890845151E-01, -7.5707165394315046E-01, -1.0000000000000000E+00,  3.8694207741277625E-01, -5.5552644056149669E-01, -1.0000000000000000E+00, -1.0000000000000000E+00,  3.0853797254620391E-01, -5.9719016196124908E-01, -1.0000000000000000E+00, -1.0000000000000000E+00,  2.8969143341536874E-01, -6.1367487034288237E-01, -1.0000000000000000E+00, -1.0000000000000000E+00,  2.7472063557245824E-01, -6.2312815501914542E-01, -1.0000000000000000E+00, -1.0000000000000000E+00,  2.6429886077339482E-01, -6.2982926645735993E-01, -1.0000000000000000E+00, -1.0000000000000000E+00,  2.5667645056012439E-01
  5.0000000000000003E-02,  9.2727981522450209E-01, -7.1453773261981413E-01, -9.3436324510175073E-01,  3.4485321611543518E-01, -4.6173780760688149E-01, -7.9204266819483182E-01, -7.6431853234476865E-01,  2.2283731561724557E-01, -3.9937690798560471E-01, -6.3960383240353913E-01, -6.1362521030244332E-01,  1.6580504568221172E-01, -3.1543191764624207E-01, -4.8586299182446868E-01, -4.5930465410802235E-01,  1.1520104227367835E-01, -2.2499873831566708E-01, -3.3451844467052072E-01, -3.0804693384403781E-01,  7.1223059482236631E-02, -1.3366167821224040E-01, -1.8720644118725244E-01, -1.6127282354255054E-01,  3.1939545813941567E-02
  1.0000000000000001E-01,  8.7564738262884045E-01, -6.7201409701512271E-01, -8.6876230954258815E-01,  3.0282904371504099E-01, -3.6823049166055632E-01, -5.8504299764225853E-01, -5.3014419707338678E-01,  1.3804037933026464E-01, -2.0515872232785315E-01, -2.8759906125929591E-01, -2.3822735498329328E-01,  4.6599464294274105E-02, -3.3276500775073249E-02, -4.1481318360418575E-03,  4.2191033638420958E-02, -3.0238831286334807E-02,  1.2745489065027077E-01,  2.4564211124090890E-01,  2.8526194755762629E-01, -8.9969162442735409E-02,  2.6207161403385587E-01,  4.4664067946375879E-01,  4.7656525590772775E-01, -1.3240544094776180E-01
  1.5000000000000002E-01,  8.2403544780730797E-01, -6.2952657986285010E-01, -8.0328678273584742E-01,  2.6102822478191284E-01, -2.7567463671893511E-01, -3.8123628390492864E-01, -3.0094199282251005E-01,  5.6175341883637757E-02, -2.2343077427009157E-02,  3.8134324370422086E-02,  1.0321461554831117E-01, -5.8412480242608131E-02,  2.0154428523208054E-01,  3.8362826842462738E-01,  4.3181192224197534E-01, -1.3643957200851145E-01,  3.5725590474686969E-01,  6.0077919450411887E-01,  6.2321852094173025E-01, -1.7095006812774691E-01,  4.1641504714507793E-01,  6.5945958344303368E-01,  6.5250747475956028E-01, -1.6260216406165898E-01
  2.0000000000000001E-01,  7.7246782591321683E-01, -5.8711705181940699E-01, -7.3808114548014292E-01,  2.1970046787180550E-01, -1.8508513481958619E-01, -1.8391323807197213E-01, -8.1702930034582774E-02, -1.9940014378047377E-02,  1.3877199178737296E-01,  3.1474838092604285E-01,  3.8222082797776963E-01, -1.3805692666485317E-01,  3.5544573651876482E-01,  6.1453723439776964E-01,  6.3894330709905789E-01, -1.8101585114488239E-01,  4.0596687171031293E-01,  6.3384076458626404E-01,  6.0755714547153017E-01, -1.4650271988042324E-01,  2.8024480527069301E-01,  3.8701153247106479E-01,  3.2125083996080367E-01, -5.6294634812049715E-02
  2.5000000000000000E-01,  7.2097694138693302E-01, -5.4484240765554792E-01, -6.7334063461179028E-01,  1.7917397238132038E-01, -9.7735168166610528E-02,  2.9463572028850535E-03,  1.2171230363064549E-01, -8.7162250090070767E-02,  2.6757619767000718E-01,  5.1990471718587694E-01,  5.7240471955009742E-01, -1.8299809037957326E-01,  4.0552181935399179E-01,  6.5114645179762765E-01,  6.2810046152032839E-01, -1.5635162360814486E-01,  2.7181591910809833E-01,  3.5988651768982188E-01,  2.7589432927919688E-01, -3.7686786233875738E-02, -4.3223641338737198E-02, -1.6161129518042155E-01, -2.5588950423927725E-01,  9.8131298080780777E-02
  3.0000000000000004E-01,  6.6960328925341328E-01, -5.0277355436903803E-01, -6.0930712524384500E-01,  1.3984302154199885E-01, -1.5071631706024340E-02,  1.7502809878572573E-01,  3.0320062732004555E-01, -1.4245313390910111E-01,  3.5506366339806167E-01,  6.3641768866106896E-01,  6.5566688866299816E-01, -1.8838723027935719E-01,  3.4806756656303284E-01,  4.9754441930416299E-01,  4.1653915215365134E-01, -7.4669678645911258E-02,  1.8084957864102205E-02, -8.6622356163222086E-02, -2.0053236785373188E-01,  9.4478403644301920E-02, -3.4768409628074382E-01, -6.1623075386036064E-01, -6.6629554546735570E-01,  1.8096700816826591E-01
  3.5000000000000003E-01,  6.1839489723547725E-01, -4.6099440257208923E-01, -5.4626504288377697E-01,  1.0215581959076467E-01,  6.1366385563623171E-02,  3.2801845475488906E-01,  4.5699825734708005E-01, -1.8325991744323097E-01,  3.9536415937124758E-01,  6.5569636301258027E-01,  6.2641669267907507E-01, -1.5535975774759037E-01,  2.0138755050586701E-01,  2.0200014314139236E-01,  7.3558413369214273E-02,  3.4617076280073586E-02, -2.4830473103781472E-01, -5.0336975375260629E-01, -5.8985833221339024E-01,  1.7877700198002355E-01, -4.4341282104538038E-01, -6.7561676652041891E-01, -6.2049131503067534E-01,  1.2843553620739237E-01
  4.0000000000000002E-01,  5.6740678910500042E-01, -4.1960086284176112E-01, -4.8453732066896560E-01,  6.6602691032028538E-02,  1.3002471921812001E-01,  4.5791362138603908E-01,  5.7819954231292015E-01, -2.0782806366035203E-01,  3.8678365716271618E-01,  5.7970260655440109E-01,  4.9342922741308676E-01, -9.1224470426308643E-02,  2.7066304639303249E-03, -1.5341840124444381E-01, -2.9700436137001068E-01,  1.3389346644125769E-01, -4.1766420422678424E-01, -7.0477399787676343E-01, -7.0501298690852121E-01,  1.7009198258256303E-01, -2.7021727779531418E-01, -2.9854139537472485E-01, -1.4765608316689929E-01, -2.0456985435043179E-02
  4.5000000000000001E-01,  5.1670044977284235E-01, -3.7869984903185117E-01, -4.2448141964787928E-01,  3.3704776133926827E-02,  1.8940541968089636E-01,  5.6129406368388934E-01,  6.6319662644341759E-01, -2.1543217540879886E-01,  3.3228567840442380E-01,  4.2128467143190368E-01,  2.7921857114942561E-01, -8.3844968832780808E-03, -1.9980685112847135E-01, -4.7294776173294945E-01, -5.8527631729331842E-01,  1.8940130381993905E-01, -4.2052180488241919E-01, -6.0105000093385930E-01, -4.8996425103507685E-01,  7.2570725274155118E-02,  6.7087675940722194E-02,  2.7141222813148658E-01,  4.2647807486198991E-01, -1.5378866104990160E-01
