tau,xi,w
  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  5.0000000000000003E-02,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.0000000000000001E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.5000000000000002E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.0000000000000001E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.5000000000000000E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.0000000000000004E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.5000000000000003E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  4.0000000000000002E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  4.5000000000000001E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  5.0000000000000000E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  5.5000000000000004E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  6.0000000000000009E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  6.5000000000000002E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  7.0000000000000007E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  7.5000000000000000E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  8.0000000000000004E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  8.5000000000000009E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  9.0000000000000002E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  9.5000000000000007E-01,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.0000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.0500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.1000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.1500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.2000000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.2500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.3000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.3500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.4000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.4500000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.5000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.5500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.6000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.6500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.7000000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.7500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.8000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.8500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.9000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  1.9500000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.0000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.0500000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.1000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.1499999999999999E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.2000000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.2500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.3000000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.3500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.4000000000000004E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.4500000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.5000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.5500000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.6000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.6500000000000004E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.7000000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.7500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.8000000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.8500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.9000000000000004E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  2.9500000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.0000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.0500000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.1000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.1500000000000004E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.2000000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.2500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.3000000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.3500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.4000000000000004E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.4500000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.5000000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.5500000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.6000000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.6500000000000004E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.7000000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.7500000000000000E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.8000000000000003E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.8500000000000001E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.9000000000000004E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  3.9500000000000002E+00,  0.0000000000000000E+00
  0.0000000000000000E+00,  4.0000000000000000E+00,  0.0000000000000000E+00
  4.0000000000000001E-02,  0.0000000000000000E+00,  1.8302275817932764E-04
  4.0000000000000001E-02,  5.0000000000000003E-02,  2.4175275491574155E-05
  4.0000000000000001E-02,  1.0000000000000001E-01, -9.5559246012339946E-05
  4.0000000000000001E-02,  1.5000000000000002E-01, -1.2430119605251922E-04
  4.0000000000000001E-02,  2.0000000000000001E-01, -5.1415853726656936E-05
  4.0000000000000001E-02,  2.5000000000000000E-01,  7.1399577971507201E-05
  4.0000000000000001E-02,  3.0000000000000004E-01,  1.5682907192465464E-04
  4.0000000000000001E-02,  3.5000000000000003E-01,  1.3711747093571466E-04
  4.0000000000000001E-02,  4.0000000000000002E-01,  1.1445964935624635E-05
  4.0000000000000001E-02,  4.5000000000000001E-01, -1.4670920991046279E-04
  4.0000000000000001E-02,  5.0000000000000000E-01, -2.3047300135116178E-04
